Wood,"[('Gate', '10'), ('Wood Fence', '2'), ('Mayonnaise Machine', '15'), ('Bee House', '40'), ('Preserves Jar', '50'), ('Cheese Press', '45'), ('Loom', '60'), ('Keg', '30'), ('Cask', '20'), ('Tea Sapling', '5'), ('Wood Floor', '1'), ('Rustic Plank Floor', '1'), ('Straw Floor', '1'), ('Weathered Floor', '1'), ('Wood Path', '1'), ('Cork Bobber', '10'), ('Crab Pot', '40'), ('Crab Pot', '25'), ('Torch', '1'), ('Campfire', '10'), ('Wooden Brazier', '10'), ('Barrel Brazier', '50'), ('Wood Lamp-post', '50'), ('Charcoal Kiln', '20'), ('Recycling Machine', '25'), ('Seed Maker', '25'), ('Tapper', '40'), (""Tub o' Flowers"", '15'), ('Flute Block', '10'), ('Chest', '50'), ('Wood Sign', '25'), ('Scarecrow', '50'), ('Deluxe Scarecrow', '50'), ('Cookout Kit', '15')]"
Stone,"[('Stone Fence', '2'), ('Mayonnaise Machine', '15'), ('Preserves Jar', '40'), ('Cheese Press', '45'), ('Basic Retaining Soil', '2'), ('Quality Retaining Soil (2)', '3'), ('Deluxe Retaining Soil', '5'), ('Tree Fertilizer', '5'), ('Stone Floor', '1'), ('Stone Walkway Floor', '1'), ('Brick Floor (5)', '5'), ('Gravel Path', '1'), ('Cobblestone Path', '1'), ('Stepping Stone Path', '1'), ('Thorns Ring', '50'), ('Warp Totem: Mountains', '25'), ('Campfire', '10'), ('Stone Brazier', '10'), ('Marble Brazier', '100'), ('Crystalarium', '99'), ('Furnace', '25'), ('Recycling Machine', '25'), ('Bone Mill', '20'), ('Geode Crusher', '50'), ('Wicked Statue', '25'), ('Drum Block', '10'), ('Stone Chest', '50'), ('Stone Sign', '25'), ('Garden Pot', '10'), ('Staircase', '99')]"
Iron Bar,"[('Iron Fence (10)', '1'), ('Sprinkler', '1'), ('Quality Sprinkler', '1'), ('Bee House', '1'), ('Keg', '1'), ('Spinner', '2'), ('Dressed Spinner', '2'), ('Barbed Hook', '1'), ('Magnet (3)', '1'), ('Crab Pot', '3'), ('Warrior Ring', '10'), ('Ring of Yoba', '5'), ('Glowstone Ring', '5'), ('Warp Totem: Mountains', '1'), ('Iron Lamp-post', '1'), ('Lightning Rod', '1'), ('Solar Panel', '5'), ('Recycling Machine', '1'), ('Worm Bin', '1'), ('Explosive Ammo (5)', '1'), ('Transmute (Au)', '2'), ('Mini-Jukebox', '2')]"
Hardwood,"[('Hardwood Fence', '1'), ('Cheese Press', '10'), ('Oil Maker', '20'), ('Cask', '1'), ('Cork Bobber', '5'), ('Warp Totem: Beach', '1'), ('Warp Totem: Mountains', '1'), ('Warp Totem: Farm', '1'), ('Warp Totem: Desert', '2'), ('Warp Totem: Island', '5'), ('Rain Totem', '1'), ('Carved Brazier', '10'), ('Stump Brazier', '5'), ('Skull Brazier', '10'), ('Ostrich Incubator', '50'), ('Heavy Tapper', '30'), ('Worm Bin', '25'), ('Mini-Obelisk', '30'), ('Hopper', '10')]"
Fiber,"[('Loom', '30'), ('Deluxe Retaining Soil', '3'), ('Tree Fertilizer', '5'), ('Grass Starter', '10'), ('Tea Sapling', '5'), ('Straw Floor', '1'), ('Wild Bait (5)', '10'), ('Warp Totem: Beach', '10'), ('Warp Totem: Farm', '20'), ('Campfire', '10'), ('Wooden Brazier', '5'), ('Stone Brazier', '5'), ('Gold Brazier', '5'), ('Worm Bin', '50'), ('Flute Block', '20'), ('Drum Block', '20'), ('Scarecrow', '20'), ('Deluxe Scarecrow', '40'), ('Cookout Kit', '10')]"
Coal,"[('Cherry Bomb', '1'), ('Bomb', '1'), ('Bee House', '8'), ('Preserves Jar', '8'), ('Warrior Ring', '25'), ('Wooden Brazier', '1'), ('Stone Brazier', '1'), ('Gold Brazier', '1'), ('Carved Brazier', '1'), ('Stump Brazier', '1'), ('Barrel Brazier', '1'), ('Skull Brazier', '1'), ('Seed Maker', '10'), ('Slime Egg-Press', '25'), ('Wicked Statue', '5'), ('Scarecrow', '1'), ('Explosive Ammo (5)', '2'), ('Cookout Kit', '3')]"
Gold Bar,"[('Quality Sprinkler', '1'), ('Iridium Sprinkler', '1'), ('Oil Maker', '1'), ('Treasure Hunter', '2'), ('Barbed Hook', '1'), ('Ring of Yoba', '5'), ('Thorns Ring', '1'), ('Gold Brazier', '1'), ('Crystalarium', '5'), ('Solar Panel', '5'), ('Seed Maker', '1'), ('Worm Bin', '1'), ('Geode Crusher', '2'), ('Mini-Obelisk', '3')]"
Copper Bar,"[('Sprinkler', '1'), ('Mayonnaise Machine', '1'), ('Cheese Press', '1'), ('Keg', '1'), ('Trap Bobber', '1'), ('Quality Bobber', '1'), ('Barbed Hook', '1'), ('Crab Pot', '2'), ('Sturdy Ring', '2'), ('Charcoal Kiln', '2'), ('Tapper', '2'), ('Transmute (Fe)', '3')]"
Solar Essence,"[('Mega Bomb', '1'), ('Hyper Speed-Gro', '1'), ('Quality Bobber', '5'), ('Glowstone Ring', '5'), ('Iridium Band', '50'), ('Barrel Brazier', '1'), ('Skull Brazier', '1'), ('Mini-Obelisk', '20')]"
Refined Quartz,"[('Quality Sprinkler', '1'), ('Crystal Floor (5)', '1'), ('Crystal Path (5)', '1'), ('Lightning Rod', '1'), ('Solar Panel', '10'), ('Garden Pot', '1'), ('Farm Computer', '10')]"
Iridium Bar,"[('Iridium Sprinkler', '1'), ('Deluxe Fertilizer (5)', '1'), ('Iridium Band', '5'), ('Wedding Ring', '5'), ('Crystalarium', '2'), ('Slime Incubator', '2'), ('Hopper', '1')]"
Battery Pack,"[('Iridium Sprinkler', '1'), ('Wood Lamp-post', '1'), ('Iron Lamp-post', '1'), ('Crystalarium', '1'), ('Slime Egg-Press', '1'), ('Mini-Jukebox', '1'), ('Farm Computer', '1')]"
Sap,"[('Basic Fertilizer', '2'), ('Quality Fertilizer', '2'), ('Deluxe Fertilizer (5)', '40'), ('Fiber Seeds (4)', '5'), ('Trap Bobber', '10'), ('Quality Bobber', '20'), ('Torch', '2')]"
Slime,"[('Oil Maker', '50'), ('Cork Bobber', '10'), ('Wild Bait (5)', '5'), ('Sturdy Ring', '25'), ('Monster Musk', '30'), ('Slime Incubator', '100')]"
Bone Fragment,"[('Hyper Speed-Gro', '3'), ('Thorns Ring', '50'), ('Skull Brazier', '10'), ('Ostrich Incubator', '50'), ('Bone Mill', '10'), ('Dark Sign', '5')]"
Clay,"[('Quality Retaining Soil (2)', '1'), ('Deluxe Retaining Soil', '1'), ('Fiber Seeds (4)', '1'), ('Brick Floor (5)', '2'), ('Bone Mill', '3'), ('Garden Pot', '1')]"
Bug Meat,"[('Bait (5)', '1'), ('Wild Bait (5)', '5'), ('Magic Bait (5)', '3'), ('Sturdy Ring', '25'), ('Bug Steak', '10')]"
Copper Ore,"[('Cherry Bomb', '4'), ('Furnace', '20'), ('Flute Block', '2'), ('Drum Block', '2')]"
Pine Tar,"[('Loom', '1'), ('Speed-Gro (5)', '1'), ('Rain Totem', '5')]"
Diamond,"[('Ring of Yoba', '1'), ('Fairy Dust', '1'), ('Geode Crusher', '1')]"
Bat Wing,"[('Monster Musk', '30'), ('Lightning Rod', '5'), ('Dark Sign', '5')]"
Void Essence,"[('Mega Bomb', '1'), ('Iridium Band', '50')]"
Oak Resin,"[('Keg', '1'), ('Deluxe Speed-Gro (5)', '1')]"
Coral,"[('Deluxe Speed-Gro (5)', '1'), ('Warp Totem: Beach', '2')]"
Radioactive Ore,"[('Hyper Speed-Gro', '1'), ('Magic Bait (5)', '1')]"
Iridium Ore,"[('Warp Totem: Desert', '4'), ('Deluxe Scarecrow', '1')]"
Radioactive Bar,"[('Heavy Tapper', '1'), ('Hopper', '1')]"
Iron Ore,"[('Bomb', '4')]"
Gold Ore,"[('Mega Bomb', '4')]"
Earth Crystal,"[('Mayonnaise Machine', '1')]"
Maple Syrup,"[('Bee House', '1')]"
Any Fish,"[('Quality Fertilizer', '1')]"
Clam,"[('Speed-Gro (5)', '1')]"
Wild Horseradish,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Daffodil,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Leek,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Dandelion,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Spice Berry,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Grape,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Sweet Pea,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Common Mushroom,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Wild Plum,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Hazelnut,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Blackberry,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Winter Root,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Crystal Fruit,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Snow Yam,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Crocus,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Ancient Seed,"[('Ancient Seeds', '1')]"
Wild Seeds (Any),"[('Tea Sapling', '2')]"
Mixed Seeds,"[('Fiber Seeds (4)', '1')]"
Cloth,"[('Dressed Spinner', '1')]"
Frozen Tear,"[('Warrior Ring', '10')]"
Prismatic Shard,"[('Wedding Ring', '1')]"
Acorn,"[('Field Snack', '1')]"
Maple Seed,"[('Field Snack', '1')]"
Pine Cone,"[('Field Snack', '1')]"
Red Mushroom,"[('Life Elixir', '1')]"
Purple Mushroom,"[('Life Elixir', '1')]"
Morel,"[('Life Elixir', '1')]"
Chanterelle,"[('Life Elixir', '1')]"
Garlic,"[('Oil of Garlic', '10')]"
Oil,"[('Oil of Garlic', '1')]"
Fairy Rose,"[('Fairy Dust', '1')]"
Honey,"[('Warp Totem: Farm', '1')]"
Coconut,"[('Warp Totem: Desert', '1')]"
Dragon Tooth,"[('Warp Totem: Island', '1')]"
Ginger,"[('Warp Totem: Island', '1')]"
Truffle Oil,"[('Rain Totem', '1')]"
Marble,"[('Marble Brazier', '1')]"
Aquamarine,"[('Marble Brazier', '1')]"
Pumpkin,"[('Jack-O-Lantern', '1')]"
Torch,"[('Jack-O-Lantern', '1')]"
Cinder Shard,"[('Ostrich Incubator', '20')]"
Fire Quartz,"[('Slime Egg-Press', '1')]"
Tulip Bulb,"[(""Tub o' Flowers"", '1')]"
Jazz Seeds,"[(""Tub o' Flowers"", '1')]"
Poppy Seeds,"[(""Tub o' Flowers"", '1')]"
Spangle Seeds,"[(""Tub o' Flowers"", '1')]"
Dwarf Gadget,"[('Farm Computer', '1')]"
